price,address,city_zip,beds,bath,sf,price_per_sf,year_built,days_on_zip,created
350000,1210 Windsor Rd #124,"Austin - Central, TX 78703",2,2,963,363,1960,76,2013-06-11
115000,2408 Longview St #203 #203,"Austin - Central, TX 78705",1,1,554,208,1962,77,2013-06-11
239900,908 Poplar St #204 #204,"Austin - Central, TX 78705",3,2,930,258,1982,77,2013-06-11
175000,1106 W 22nd St #1 #1,"Austin - Central, TX 78705",1,1,775,226,1974,85,2013-06-11
285000,1406 Windsor Rd #304 #304,"Austin - Central, TX 78703",2,1,856,333,1982,93,2013-06-11
375000,508 E 53rd St #200 #200,"Austin - Central, TX 78751",3,2,1800,208,2006,93,2013-06-11
317000,3602 Las Colinas Dr #b #b,"Austin - Central, TX 78731",2,2,2093,151,1969,93,2013-06-11
359900,2505 San Gabriel St #300,"Austin - Central, TX 78705",3,2,1374,262,2005,97,2013-06-11
145000,2802 Nueces St #208,"Austin - Central, TX 78705",1,1,609,238,1983,103,2013-06-11
219500,2605 Enfield Rd #202 #202,"Austin - Central, TX 78703",2,2,1034,212,1983,106,2013-06-11
94000,2815 Rio Grande St #102,"Austin - Central, TX 78705",1,1,369,255,1981,112,2013-06-11
149900,908 Poplar St #207 #207,"Austin - Central, TX 78705",1,1,634,236,1982,116,2013-06-11
185000,4416 Berkman Dr #d #d,"Austin - East, TX 78723",3,2,1339,138,2013,117,2013-06-11
360000,4815 Harmon Ave #b,"Austin - Central, TX 78751",3,3,1642,219,2002,122,2013-06-11
188000,4400 Berkman Dr #c #c,"Austin - East, TX 78723",3,2,1360,138,2013,123,2013-06-11
188000,4400 Berkman Dr #d #d,"Austin - East, TX 78723",3,2,1360,138,2013,123,2013-06-11
289500,2505 San Gabriel St #202,"Austin - Central, TX 78705",2,2,980,295,2005,124,2013-06-11
340000,3200 Duval St #208 #208,"Austin - Central, TX 78705",2,2,1800,189,1982,135,2013-06-11
209900,2906 West Ave #14,"Austin - Central, TX 78705",2,2,942,223,1981,144,2013-06-11
354000,1812 West Ave #405 #405,"Austin - Central, TX 78701",1,2,936,378,2009,147,2013-06-11
375000,5511 Oakwood Cv #a #a,"Austin - Central, TX 78731",3,4,2399,156,2000,156,2013-06-11
275365,1603 Enfield ##211 ##211,"Austin - Central, TX 78703",1,1,773,356,2012,163,2013-06-11
399000,2505 San Gabriel St #600,"Austin - Central, TX 78705",4,4,1523,262,2005,187,2013-06-11
269000,2704 San Pedro St #1 #1,"Austin - Central, TX 78705",2,3,1255,214,1963,258,2013-06-11
101000,3400 Speedway #106 #106,"Austin - Central, TX 78705",1,1,377,268,1981,284,2013-06-11
